,Comuna,causa,n_def,Nombre Comuna,Poblacion 2017,tasa_def,prop_rural,etnia,ingreso,tasa_denuncias,region,rm,tiempo_hospital
99,6306,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",8.0,Palmilla,12922.0,61.90992106485065,70.40705773100139,1.4897420618030135,220548.32008172298,1601.4887078128963,6.0,0.0,18.57
100,6307,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Peralillo,11478.0,34.84927687750479,39.092176337341,1.4988290398126463,246265.67213114753,1072.9916701962445,6.0,0.0,22.29
101,6308,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Placilla,8977.0,44.55831569566671,71.98395900634956,3.8772402483307955,223586.0744992386,541.3598960589,6.0,0.0,18.4
102,6309,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",2.0,Pumanque,3512.0,56.947608200455576,100.0,2.2556390977443606,292155.3786739576,1146.2933383444515,6.0,0.0,41.51
103,6310,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",30.0,Santa Cruz,39540.0,75.87253414264036,40.23773394031361,2.085375871114762,320371.5548901667,1638.1081151355988,6.0,0.0,8.67
105,7102,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",32.0,Constitución,49714.0,64.36818602405761,19.76907913263869,4.643466750269969,301342.57229943917,1353.365425796173,7.0,0.0,21.7
106,7103,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Curepto,9582.0,62.61740763932373,63.869755792110205,11.87514667918329,213838.01044355784,761.6232806638627,7.0,0.0,19.31
107,7104,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Empedrado,4200.0,95.23809523809524,27.80952380952381,0.0,201789.93161255989,1138.7163561076604,7.0,0.0,44.68
108,7105,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",12.0,Maule,52210.0,22.984102662325224,21.10515226968014,1.2243878060969515,208063.6890721306,1150.6446874489964,7.0,0.0,13.08
109,7106,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Pelarco,8766.0,45.63084645220169,69.46155601186402,3.110443275732532,226212.0474830954,1672.6266005306263,7.0,0.0,28.31
110,7107,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Pencahue,8503.0,47.04222039280254,57.85017052804893,0.0,236341.26047804335,1426.55864741106,7.0,0.0,34.8
111,7108,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,Río Claro,14357.0,48.75670404680643,67.93898446750714,1.5194235588972431,208878.13455513783,479.5013186286262,7.0,0.0,32.01
112,7109,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",19.0,San Clemente,44685.0,42.519861250979076,48.367461116705826,1.4372722407685838,201349.3221375602,903.0032467532468,7.0,0.0,38.2
113,7110,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,San Rafael,9554.0,41.86728072011723,46.44128113879004,3.923138510808647,258546.2428228297,1712.9892229154848,7.0,0.0,19.42
